timestamp,cpu_percent,mem_usage_bytes,mem_limit_bytes,mem_percent,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2026-06-22T10:32:00,5.80,48324608,33021190144,0.15,90640,68223,0,0
2026-06-22T10:32:06,8.16,56963072,33021190144,0.17,576179,260863,0,0
2026-06-22T10:32:12,10.38,66265088,33021190144,0.20,1127022,454623,0,0
2026-06-22T10:32:18,9.02,75280384,33021190144,0.23,1653284,646713,0,0
2026-06-22T10:32:24,7.75,84545536,33021190144,0.26,2131994,805769,0,0
2026-06-22T10:32:30,17.66,93442048,33021190144,0.28,2806093,992915,0,0
2026-06-22T10:32:36,11.00,102629376,33021190144,0.31,3406403,1195477,0,0
2026-06-22T10:32:42,3.88,104476672,33021190144,0.32,4019293,1324597,0,0
2026-06-22T10:32:48,13.55,104951808,33021190144,0.32,4732434,1463164,0,0
2026-06-22T10:32:54,5.60,105390080,33021190144,0.32,5330783,1567328,0,0
2026-06-22T10:33:00,2.66,105766912,33021190144,0.32,5785040,1649446,0,0
2026-06-22T10:33:06,9.18,106012672,33021190144,0.32,6327248,1756949,0,0
2026-06-22T10:33:12,4.44,106160128,33021190144,0.32,6852233,1854106,0,0
2026-06-22T10:33:18,3.87,106323968,33021190144,0.32,7379438,1959112,0,0
2026-06-22T10:33:24,7.43,106475520,33021190144,0.32,7909761,2048989,0,0
2026-06-22T10:33:30,8.62,106586112,33021190144,0.32,8477745,2172268,0,0
2026-06-22T10:33:36,6.54,106676224,33021190144,0.32,9107921,2286264,0,0
2026-06-22T10:33:42,7.28,106762240,33021190144,0.32,9807786,2417890,0,0
2026-06-22T10:33:48,11.30,106840064,33021190144,0.32,10443111,2527243,0,0
2026-06-22T10:33:54,11.05,106909696,33021190144,0.32,11052072,2670764,0,0
