timestamp,cpu_percent,mem_usage_bytes,mem_limit_bytes,mem_percent,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2026-06-22T14:46:28,32.07,49938432,33021190144,0.15,1393079,363837,0,0
2026-06-22T14:46:36,35.52,62423040,33021190144,0.19,5495463,1346661,0,0
2026-06-22T14:46:44,41.29,75354112,33021190144,0.23,9874243,2285463,0,0
2026-06-22T14:46:52,35.46,88449024,33021190144,0.27,14456293,3263931,0,0
2026-06-22T14:47:00,42.64,101113856,33021190144,0.31,19610459,4329124,0,0
2026-06-22T14:47:08,43.55,104226816,33021190144,0.32,25146548,5347375,0,0
2026-06-22T14:47:16,46.71,104587264,33021190144,0.32,31323217,6549952,0,0
2026-06-22T14:47:24,44.61,104820736,33021190144,0.32,36915014,7653588,0,0
2026-06-22T14:47:32,43.04,105000960,33021190144,0.32,42200026,8645233,0,0
2026-06-22T14:47:40,42.93,105349120,33021190144,0.32,47974349,9795102,0,0
2026-06-22T14:47:48,37.72,105377792,33021190144,0.32,53468637,10864866,0,0
2026-06-22T14:47:56,41.86,105844736,33021190144,0.32,58807409,11894311,0,0
2026-06-22T14:48:04,34.77,106012672,33021190144,0.32,64562244,12969485,0,0
2026-06-22T14:48:12,34.89,106020864,33021190144,0.32,70110082,14020716,0,0
2026-06-22T14:48:20,46.33,106065920,33021190144,0.32,75582092,15054528,0,0
