Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1782130100,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1782130101,25,,Aggregated,0.000000,0.000000,31,320,330,340,340,340,440,440,440,440,440,30,0,30,152.39987153327093,7.532317998993676,444.4460659979086,1247.6666666666667
1782130102,50,,Aggregated,0.000000,0.000000,29,61,130,180,340,340,340,440,440,440,440,63,0,29,95.50717706351573,6.780904001061572,444.4460659979086,1309.904761904762
1782130103,75,,Aggregated,12.000000,0.000000,30,58,71,74,320,340,340,440,440,440,440,93,0,30,76.49208678498893,6.294122998951934,444.4460659979086,1251.784946236559
1782130104,100,,Aggregated,12.000000,0.000000,30,58,71,74,320,340,340,440,440,440,440,93,0,30,76.49208678498893,6.294122998951934,444.4460659979086,1251.784946236559
1782130105,125,,Aggregated,30.000000,0.000000,30,120,380,1300,2400,3100,4300,4300,4300,4300,4300,225,72,30,583.333613320008,5.2415360005397815,4345.197851002013,979.7644444444444
1782130106,150,,Aggregated,23.250000,0.000000,39,73,200,1200,2700,3600,4400,4600,4700,4700,4700,528,201,39,621.1882769394198,5.2415360005397815,4739.127983000799,880.0265151515151
1782130107,175,,Aggregated,22.600000,2.000000,35,59,83,110,1500,3000,4200,4400,4700,4700,4700,907,339,35,381.7258061973982,5.2415360005397815,4739.127983000799,922.9558985667035
1782130108,200,,Aggregated,52.333333,17.833333,39,62,83,100,310,2400,3600,4300,4700,4700,4700,1327,529,39,280.9762757671854,5.2415360005397815,4739.127983000799,902.7784476262245
1782130109,225,,Aggregated,95.428571,35.428571,42,65,87,100,180,1500,3300,4300,4700,4700,4700,1784,712,42,226.5398260471426,5.2415360005397815,4739.127983000799,899.6961883408072
1782130110,250,,Aggregated,132.875000,51.625000,45,72,94,110,180,420,3000,4100,4700,4700,4700,2271,903,45,196.57957404716126,5.2415360005397815,4739.127983000799,892.7846763540291
1782130111,275,,Aggregated,164.111111,65.333333,49,75,100,120,200,360,2700,3600,4700,4700,4700,2792,1100,49,178.92052236574057,5.2415360005397815,4739.127983000799,878.1350286532951
1782130112,300,,Aggregated,194.800000,78.000000,60,92,120,140,220,360,2400,3400,4600,4700,4700,3324,1332,60,172.83787374342072,5.2415360005397815,4739.127983000799,875.8691335740073
1782130113,325,,Aggregated,245.100000,97.900000,74,120,140,160,230,330,1900,3300,4600,4700,4700,3854,1542,74,172.0813596661074,5.2415360005397815,4739.127983000799,881.5243902439024
1782130114,350,,Aggregated,292.700000,118.400000,89,130,160,180,250,370,1500,3000,4600,4700,4700,4403,1747,89,175.249693126551,5.2415360005397815,4739.127983000799,886.8603225073813
1782130115,375,,Aggregated,341.500000,140.200000,95,140,160,190,260,360,1300,2800,4600,4700,4700,4964,1945,95,172.88038562756057,5.2415360005397815,4739.127983000799,896.7169621273167
1782130116,400,,Aggregated,341.500000,140.200000,96,140,160,180,250,360,1300,2800,4600,4700,4700,5104,1996,96,171.84126869302864,5.2415360005397815,4739.127983000799,895.1467476489029
1782130117,425,,Aggregated,341.500000,140.200000,96,140,160,180,250,360,1300,2800,4600,4700,4700,5104,1996,96,171.84126869302864,5.2415360005397815,4739.127983000799,895.1467476489029
1782130118,450,,Aggregated,341.500000,140.200000,96,140,160,180,250,360,1300,2800,4600,4700,4700,5104,1996,96,171.84126869302864,5.2415360005397815,4739.127983000799,895.1467476489029
1782130119,475,,Aggregated,341.500000,140.200000,96,140,160,180,250,360,1300,2800,4600,4700,4700,5104,1996,96,171.84126869302864,5.2415360005397815,4739.127983000799,895.1467476489029
1782130120,500,,Aggregated,404.100000,158.300000,99,140,180,200,320,2400,4100,4700,5200,5300,5300,5600,2198,99,325.6374646221866,3.32313999751932,5317.1510029969795,892.5617857142857
1782130121,525,,Aggregated,362.700000,140.800000,100,150,190,220,450,4000,5100,5300,5600,5900,5900,6183,2436,100,475.2109016579804,3.32313999751932,5894.04278100119,889.36487142164
1782130122,550,,Aggregated,320.700000,122.900000,120,180,240,310,720,4000,5100,5400,6000,6200,6200,6756,2688,120,497.1111676881682,3.32313999751932,6176.556619000621,884.4878626406157
1782130123,575,,Aggregated,328.200000,126.800000,130,200,310,370,770,3900,5100,5400,6000,6200,6200,7294,2913,130,499.3869411346636,3.32313999751932,6176.556619000621,878.4651768576913
1782130124,600,,Aggregated,330.600000,129.400000,150,270,370,440,720,3800,5100,5300,6000,6200,6200,7999,3214,150,496.7789508851482,3.32313999751932,6176.556619000621,877.8833604200526
1782130126,625,,Aggregated,336.800000,135.300000,170,330,410,490,690,3600,5100,5300,6000,6200,6200,8636,3464,170,495.3476239651783,3.32313999751932,6176.556619000621,870.3319823992589
1782130127,650,,Aggregated,344.100000,140.000000,190,360,450,500,660,3300,5100,5300,5900,6200,6200,9283,3698,190,492.17621598032247,3.32313999751932,6176.556619000621,874.4814176451578
1782130128,675,,Aggregated,344.600000,143.600000,220,380,490,520,670,2700,5000,5300,5900,6200,6200,9950,3955,220,495.3352516558138,3.32313999751932,6176.556619000621,866.3293467336683
1782130129,700,,Aggregated,408.000000,166.000000,280,410,500,540,650,2100,5000,5300,5900,6100,6200,10680,4261,280,496.1125680166011,3.32313999751932,6176.556619000621,862.9575842696629
1782130130,725,,Aggregated,463.000000,188.800000,320,430,510,540,640,1500,5000,5200,5900,6100,6200,11334,4520,320,494.51883344029767,3.32313999751932,6176.556619000621,864.2598376566084
1782130131,750,,Aggregated,527.300000,211.900000,330,430,510,530,640,1200,4900,5200,5900,6100,6200,11901,4868,330,485.5467675476319,0.8704700012458488,6176.556619000621,852.5318040500798
1782130132,775,,Aggregated,583.800000,238.200000,330,430,500,530,640,1200,4900,5200,5900,6100,6200,11936,4903,330,484.13931207870024,0.8704700012458488,6176.556619000621,850.5509383378017
1782130133,800,,Aggregated,583.800000,238.200000,330,430,500,530,640,1200,4900,5200,5900,6100,6200,11938,4905,330,484.194466813316,0.8704700012458488,6176.556619000621,850.4380968336404
1782130134,825,,Aggregated,583.800000,238.200000,330,430,500,530,640,1200,4900,5200,5900,6100,6200,11938,4905,330,484.194466813316,0.8704700012458488,6176.556619000621,850.4380968336404
1782130135,850,,Aggregated,510.400000,219.500000,330,450,520,550,700,3900,5000,5200,5900,6100,6200,12440,5117,330,581.8605206777602,0.8704700012458488,6176.556619000621,848.7004823151126
1782130136,875,,Aggregated,455.000000,195.600000,340,460,530,570,1200,4300,5200,5400,5900,6100,6200,13134,5411,340,694.60111652599,0.8704700012458488,6176.556619000621,849.9087863560226
1782130137,900,,Aggregated,399.700000,171.500000,360,490,550,600,1800,4300,5300,5500,6100,6300,6400,13975,5762,360,727.3073541233861,0.8704700012458488,6415.989918998093,854.0837924865832
1782130139,925,,Aggregated,414.000000,179.500000,370,510,570,620,1200,4300,5200,5500,6100,6300,6400,14647,6044,370,725.8741560707527,0.8704700012458488,6415.989918998093,851.3175394278692
1782130140,950,,Aggregated,424.100000,187.800000,390,530,590,650,960,4200,5200,5400,6100,6300,6400,15531,6396,390,722.8971904032829,0.8704700012458488,6415.989918998093,848.2760285879854
1782130141,975,,Aggregated,427.000000,192.900000,410,550,630,710,980,4100,5200,5400,6100,6300,6400,16323,6714,410,727.1433453840849,0.8704700012458488,6415.989918998093,850.2692519757397
1782130142,1000,,Aggregated,440.100000,195.800000,450,560,640,720,970,4100,5200,5400,6100,6300,6400,17066,7017,450,726.6676567241558,0.8704700012458488,6415.989918998093,850.1147310441814
1782130143,1000,,Aggregated,427.800000,189.700000,470,570,660,730,950,4000,5200,5400,6100,6300,6400,17965,7437,470,723.4876804883614,0.8704700012458488,6415.989918998093,846.9065961591984
1782130145,1000,,Aggregated,479.200000,197.500000,490,590,670,750,940,4000,5100,5400,6100,6300,6400,18851,7824,490,722.2655143121001,0.8704700012458488,6415.989918998093,847.5239509840327
1782130146,1000,,Aggregated,609.500000,255.400000,500,590,680,750,930,4000,5100,5400,6100,6300,6400,19661,8174,500,717.8135980868426,0.8704700012458488,6415.989918998093,848.2749605818626
1782130147,1000,,Aggregated,685.500000,289.500000,500,590,670,750,930,3900,5100,5400,6000,6200,6400,20001,8514,500,708.722812312204,0.8704700012458488,6415.989918998093,836.8638568071597
1782130148,1000,,Aggregated,685.500000,289.500000,500,590,670,750,930,3900,5100,5400,6000,6200,6400,20005,8518,500,708.5816578336115,0.8704700012458488,6415.989918998093,836.7319170207448
1782130149,1000,,Aggregated,685.500000,289.500000,500,590,670,750,930,3900,5100,5400,6000,6200,6400,20005,8518,500,708.5816578336115,0.8704700012458488,6415.989918998093,836.7319170207448
1782130150,1000,,Aggregated,603.000000,275.600000,500,590,680,760,970,4100,5200,5400,6000,6200,6400,20252,8621,500,751.7239686350665,0.8704700012458488,6415.989918998093,838.7540983606557
1782130151,1000,,Aggregated,535.800000,247.400000,500,590,690,780,1100,4300,5200,5400,6000,6200,6400,21041,8920,500,794.841475103339,0.8704700012458488,6415.989918998093,840.5881849721972
1782130152,1000,,Aggregated,468.800000,219.900000,500,600,700,790,2800,4600,5300,5500,6000,6200,6400,21811,9285,500,851.4019448264336,0.8704700012458488,6415.989918998093,839.449864747146
1782130153,1000,,Aggregated,495.300000,232.600000,510,600,720,790,3200,4800,5400,5500,6000,6200,6400,22736,9670,510,871.2948246725601,0.8704700012458488,6415.989918998093,837.4082512315271
1782130154,1000,,Aggregated,496.500000,234.800000,510,610,710,780,2400,4700,5400,5500,6000,6200,6400,23660,10069,510,860.1766891674733,0.8704700012458488,6415.989918998093,835.3799239222316
